epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.85545,1.8567,1.84631,1.28312,0.76272,0.65506,0.80845,0.40817,1.72828,1.71483,1.19409,0.0702609,0.00330435,0.00330435
2,16.2759,1.46268,1.05936,1.09921,0.83814,0.74447,0.83252,0.45631,1.54002,1.32922,1.09197,0.0401294,0.00650626,0.00650626
3,22.8351,1.40001,0.96425,1.07527,0.92514,0.67587,0.81142,0.40389,1.91152,1.06988,1.25127,0.00986602,0.00957616,0.00957616
4,28.9604,1.32069,0.89397,1.0498,0.90231,0.86602,0.93927,0.5306,1.36723,1.02263,1.03304,0.009406,0.009406,0.009406
5,35.0092,1.2601,0.83111,1.02891,0.95287,0.95563,0.98201,0.49773,1.78139,0.76796,1.24628,0.009208,0.009208,0.009208
6,40.747,1.21347,0.79123,1.01368,0.9488,0.96358,0.97864,0.6353,1.12059,0.71715,0.9594,0.00901,0.00901,0.00901
7,47.136,1.15071,0.76083,0.9945,0.96398,0.97627,0.98548,0.653,1.1806,0.71836,0.97397,0.008812,0.008812,0.008812
8,53.6944,1.13023,0.7259,0.99057,0.9722,0.94795,0.98226,0.62483,1.1782,0.72001,0.98021,0.008614,0.008614,0.008614
9,60.2193,1.08902,0.69956,0.97492,0.99337,0.97961,0.98811,0.69724,1.06073,0.61033,0.94822,0.008416,0.008416,0.008416
10,67.1781,1.06002,0.67679,0.96921,0.93134,0.86085,0.95777,0.60235,1.23726,1.01297,0.99029,0.008218,0.008218,0.008218
11,74.2524,1.02962,0.65194,0.95992,0.97373,0.98129,0.98549,0.72621,0.97019,0.56248,0.93502,0.00802,0.00802,0.00802
12,81.4986,1.02317,0.63271,0.9581,0.98861,0.97341,0.99383,0.6766,1.14189,0.56723,0.96055,0.007822,0.007822,0.007822
13,88.6125,0.99184,0.61349,0.95135,0.96116,0.99203,0.99272,0.73121,0.93674,0.53238,0.91162,0.007624,0.007624,0.007624
14,95.9499,0.96514,0.58619,0.94475,0.98923,0.98323,0.99301,0.74233,0.97741,0.50938,0.91795,0.007426,0.007426,0.007426
15,102.794,0.94693,0.57405,0.94019,0.99077,0.96283,0.99169,0.74689,0.88672,0.53315,0.89564,0.007228,0.007228,0.007228
16,109.621,0.93597,0.56437,0.9378,0.99878,0.99466,0.99493,0.73377,1.02389,0.49782,0.94304,0.00703,0.00703,0.00703
17,116.019,0.93238,0.55839,0.9352,0.99014,0.98072,0.99421,0.75873,0.9416,0.48146,0.91874,0.006832,0.006832,0.006832
18,123.104,0.87708,0.52889,0.92226,0.99609,0.9891,0.99125,0.77773,0.81045,0.42232,0.8864,0.006634,0.006634,0.006634
19,130.093,0.89079,0.52702,0.92219,0.9928,0.97326,0.99231,0.78438,0.8002,0.44821,0.87972,0.006436,0.006436,0.006436
20,137.138,0.86419,0.50836,0.91425,0.97187,0.97517,0.98927,0.75506,0.88895,0.46276,0.91097,0.006238,0.006238,0.006238
21,143.925,0.83428,0.49133,0.90565,0.99665,0.99265,0.99471,0.77167,0.85571,0.41197,0.89166,0.00604,0.00604,0.00604
22,150.692,0.82148,0.49145,0.90462,0.97916,0.9961,0.99414,0.78107,0.8417,0.42127,0.89211,0.005842,0.005842,0.005842
23,157.497,0.79909,0.48197,0.89747,0.98368,0.98146,0.99314,0.81276,0.73738,0.39152,0.87346,0.005644,0.005644,0.005644
24,164.537,0.81945,0.48467,0.90331,0.98275,0.98872,0.98734,0.82188,0.70586,0.36954,0.86017,0.005446,0.005446,0.005446
25,171.532,0.80561,0.47392,0.89882,0.99124,0.98915,0.99446,0.81434,0.77877,0.39189,0.86837,0.005248,0.005248,0.005248
26,177.746,0.76749,0.46163,0.89107,0.98824,0.98628,0.99233,0.82834,0.71916,0.36829,0.85762,0.00505,0.00505,0.00505
27,183.746,0.75146,0.45169,0.88795,0.98023,0.99506,0.99235,0.83082,0.66818,0.37151,0.84649,0.004852,0.004852,0.004852
28,190.293,0.75194,0.44738,0.88991,0.99411,0.99714,0.9949,0.81919,0.75134,0.36333,0.86618,0.004654,0.004654,0.004654
29,197.131,0.7496,0.43779,0.88351,0.98876,0.98844,0.9929,0.84767,0.66376,0.34514,0.85351,0.004456,0.004456,0.004456
30,204.188,0.7208,0.43034,0.88069,0.99285,0.99592,0.99256,0.82614,0.70137,0.34506,0.86483,0.004258,0.004258,0.004258
31,210.882,0.70785,0.42248,0.87801,0.99828,0.99829,0.99499,0.84332,0.6685,0.34268,0.84745,0.00406,0.00406,0.00406
32,217.96,0.70962,0.41981,0.87505,0.99724,0.98127,0.99366,0.85412,0.62786,0.3273,0.83911,0.003862,0.003862,0.003862
33,225.188,0.70262,0.41768,0.87843,0.98492,0.99117,0.99377,0.82769,0.74091,0.35946,0.8712,0.003664,0.003664,0.003664
34,232.163,0.69935,0.41575,0.87461,0.98405,0.98842,0.99305,0.84752,0.64068,0.32028,0.84315,0.003466,0.003466,0.003466
35,238.719,0.68462,0.39941,0.87006,0.99845,0.99179,0.99493,0.84739,0.64654,0.32513,0.84026,0.003268,0.003268,0.003268
36,246.058,0.66153,0.39222,0.86448,0.9948,0.997,0.99483,0.87499,0.57067,0.30296,0.83358,0.00307,0.00307,0.00307
37,252.369,0.64327,0.38935,0.86235,0.9983,0.99401,0.99496,0.8661,0.61475,0.31109,0.83555,0.002872,0.002872,0.002872
38,258.993,0.65104,0.39271,0.86411,0.99624,0.99469,0.99476,0.88438,0.5379,0.29015,0.82343,0.002674,0.002674,0.002674
39,265.34,0.63858,0.38515,0.8641,0.99539,0.99265,0.99488,0.88273,0.54083,0.29279,0.8231,0.002476,0.002476,0.002476
40,272.133,0.61224,0.37068,0.85802,0.9956,0.99224,0.99482,0.86966,0.56699,0.30355,0.8332,0.002278,0.002278,0.002278
41,279.8,0.44498,0.26857,0.80667,0.99887,0.99558,0.99495,0.87856,0.5575,0.28622,0.82648,0.00208,0.00208,0.00208
42,286.58,0.41444,0.25456,0.80078,0.99764,0.99791,0.99494,0.90085,0.49445,0.26687,0.81497,0.001882,0.001882,0.001882
